Graph File,Número de Vértices,Número de Arestas,Tempo Dijkstra (ms),Desvio Dijkstra (ms),Tempo BMSPP (ms),Desvio BMSPP (ms),Ratio BMSPP / Dijkstra
H10random128.gr,128,1280,0.013,0.003,0.202,0.024,15.538
H10random256.gr,256,2560,0.032,0.003,0.226,0.007,7.062
H10random512.gr,512,5120,0.077,0.006,0.412,0.009,5.351
H10random1024.gr,1024,10240,0.178,0.029,0.810,0.023,4.551
H10random2048.gr,2048,20480,0.403,0.035,1.712,0.123,4.248
H10random4096.gr,4096,40960,0.839,0.025,2.998,0.023,3.573
H10random8192.gr,8192,81920,1.890,0.037,6.605,0.206,3.495
H10random16384.gr,16384,163840,3.904,0.056,14.241,0.479,3.648
H10random32768.gr,32768,327680,9.490,0.135,34.842,0.494,3.671
H10random65536.gr,65536,655360,23.021,0.210,73.606,0.715,3.197
H10random131072.gr,131072,1310720,54.783,0.328,162.327,2.314,2.963
H10random262144.gr,262144,2621440,126.191,1.374,370.795,0.957,2.938
H10random524288.gr,524288,5242880,295.293,3.533,994.459,3.174,3.368
H10random1048576.gr,1048576,10485760,699.683,3.599,2219.085,14.077,3.172
H10random2097152.gr,2097152,20971520,1590.410,5.723,5056.141,4.089,3.179
H10random4194304.gr,4194304,41943040,3539.514,9.303,13019.879,27.185,3.678
H10random8388608.gr,8388608,83886080,7724.304,10.531,24030.711,21.362,3.111
H10random16777216.gr,16777216,167772160,17274.166,13.703,51340.458,56.135,2.972
H10random33554432.gr,33554432,335544320,36860.984,43.844,136667.770,5976.933,3.708
