Graph File,Número de Vértices,Número de Arestas,Tempo Dijkstra (ms),Desvio Dijkstra (ms),Tempo BMSPP (ms),Desvio BMSPP (ms),Ratio BMSPP / Dijkstra
H3random128.gr,128,384,0.006,0.003,0.133,0.014,22.167
H3random256.gr,256,768,0.015,0.004,0.178,0.046,11.867
H3random512.gr,512,1536,0.036,0.004,0.219,0.009,6.083
H3random1024.gr,1024,3072,0.092,0.004,0.478,0.030,5.196
H3random2048.gr,2048,6144,0.196,0.005,0.958,0.065,4.888
H3random4096.gr,4096,12288,0.429,0.019,1.848,0.107,4.308
H3random8192.gr,8192,24576,0.962,0.028,3.586,0.096,3.728
H3random16384.gr,16384,49152,2.221,0.050,6.564,0.046,2.955
H3random32768.gr,32768,98304,4.881,0.096,15.826,0.727,3.242
H3random65536.gr,65536,196608,10.482,0.232,35.381,0.940,3.375
H3random131072.gr,131072,393216,29.980,0.243,84.178,1.065,2.808
H3random262144.gr,262144,786432,74.390,1.813,213.486,1.034,2.870
H3random524288.gr,524288,1572864,179.838,1.189,569.684,2.284,3.168
H3random1048576.gr,1048576,3145728,424.459,2.710,1317.955,1.526,3.105
H3random2097152.gr,2097152,6291456,933.016,6.067,3023.283,3.785,3.240
H3random4194304.gr,4194304,12582912,2042.307,19.507,7718.196,22.599,3.779
H3random8388608.gr,8388608,25165824,4519.483,3.752,14895.695,18.211,3.296
H3random16777216.gr,16777216,50331648,10066.866,47.385,32832.183,23.318,3.261
H3random33554432.gr,33554432,100663296,22009.777,151.378,84702.824,855.357,3.848
